"pack_id","pack_name","pack_round_type","question_id","question_round_type","answer_type","question_text","option_a","option_b","option_c","option_d","answer_index","answer_text","accepted_answers","explanation","audio_path","image_path","media_duration_ms","audio_clip_type"
"waxing_lyrical_text","Waxing Lyrical (Text)","general","lyric_song_titles_text__42nd_street__lullaby_of_broadway__v1","general","text","Which musical theatre song contains these lyrics?

The rumble of the subway train,
The rattle of the taxis.
The daffy-dills who entertain
At Angelo's and Maxie's.","","","","","","Lullaby of Broadway","","The correct answer is ""Lullaby of Broadway"" from 42nd Street.","","","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","lyric_song_titles_text__42nd_street__we_re_in_the_money__v1","general","text","Name the musical theatre song from these lyrics.

Let's spend it, lend it,
Send it rolling around!","","","","","","We're in the Money","","The correct answer is ""We're in the Money"" from 42nd Street.","","","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","lyric_song_titles_text__9_to_5__9_to_5__v1","general","text","Which show tune includes these lyrics?

They just use your mind
And they never give you credit","","","","","","9 to 5","","The correct answer is ""9 to 5"" from 9 to 5.","","","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","lyric_song_titles_text__9_to_5__backwoods_barbie__v1","general","text","Identify the musical theatre song from this lyric extract.

Now, I've always been misunderstood because of how I look.
Don't judge me by the cover, cause I'm a real good book","","","","","","Backwoods Barbie","","The correct answer is ""Backwoods Barbie"" from 9 to 5.","","","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","lyric_song_titles_text__a_chorus_line__at_the_ballet__v1","general","text","What is the title of the song containing these lyrics?

Life with my dad wasn't ever a picnic
More like a ""Come as you are.""","","","","","","At the Ballet","","The correct answer is ""At the Ballet"" from A Chorus Line.","","","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","lyric_song_titles_text__a_chorus_line__dance_ten_looks_three__v1","general","text","Which musical theatre song contains these lyrics?

Didn't cost a fortune neither.
Didn't hurt my sex life either.","","","","","","Dance Ten, Looks Three","","The correct answer is ""Dance Ten, Looks Three"" from A Chorus Line.","","","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","lyric_song_titles_text__a_chorus_line__nothing__v1","general","text","Name the musical theatre song from these lyrics.

And I dug right down to the bottom of my soul
To see what I had inside.","","","","","","Nothing","","The correct answer is ""Nothing"" from A Chorus Line.","","","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","lyric_song_titles_text__a_chorus_line__one__v1","general","text","Which show tune includes these lyrics?

Ooh! Sigh! Give her your attention.
Do I really have to mention","","","","","","One","","The correct answer is ""One"" from A Chorus Line.","","","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","lyric_song_titles_text__a_chorus_line__what_i_did_for_love__v1","general","text","Identify the musical theatre song from this lyric extract.

Kiss today goodbye,
The sweetness and the sorrow.","","","","","","What I Did for Love","","The correct answer is ""What I Did for Love"" from A Chorus Line.","","","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","lyric_song_titles_text__a_funny_thing_happened_on_the_way_to_the_forum__comedy_tonight__v1","general","text","What is the title of the song containing these lyrics?

Nothing with kings, nothing with crowns;
Bring on the lovers, liars and clowns!","","","","","","Comedy Tonight","","The correct answer is ""Comedy Tonight"" from A Funny Thing Happened on the Way to the Forum.","","","",""
