pack_id,pack_name,pack_round_type,pack_sort_order,question_id,question_round_type,answer_type,question_text,option_a,option_b,option_c,option_d,answer_index,answer_text,accepted_answers,explanation,audio_path,image_path
warmup,01 Warm-up,general,10,warmup-001,general,mcq,"Which musical features the song Defying Gravity?",Wicked,Cats,Chicago,Mamma Mia,0,,,,,
warmup,01 Warm-up,general,10,warmup-002,general,mcq,"Which musical is set on the roof of Anatevka?",Fiddler on the Roof,Oliver,Annie,Grease,0,,,,,
warmup,01 Warm-up,general,10,warmup-003,general,mcq,"Who wrote the music and lyrics for Hamilton?",Lin-Manuel Miranda,Stephen Sondheim,Andrew Lloyd Webber,Claude-Michel Schonberg,0,,,,,
warmup,01 Warm-up,general,10,warmup-004,general,mcq,"Which musical features the character Jean Valjean?",Les Miserables,Phantom of the Opera,West Side Story,The Sound of Music,0,,,,,
warmup,01 Warm-up,general,10,warmup-005,general,mcq,"Seasons of Love is a song from which musical?",Rent,Company,Cabaret,Matilda,0,,,,,
warmup,01 Warm-up,general,10,warmup-006,general,mcq,"Which musical features the barber Sweeney Todd?",Sweeney Todd,Hadestown,Joseph and the Amazing Technicolor Dreamcoat,The Producers,0,,,,,
warmup,01 Warm-up,general,10,warmup-007,general,mcq,"Which musical includes the characters Simba and Nala?",The Lion King,The Jungle Book,Aladdin,Beauty and the Beast,0,,,,,
warmup,01 Warm-up,general,10,warmup-008,general,mcq,"You Will Be Found is from which musical?",Dear Evan Hansen,Next to Normal,Six,Heathers,0,,,,,
warmup,01 Warm-up,general,10,warmup-009,general,mcq,"Which musical is set during the French Revolution and beyond?",Les Miserables,Evita,Miss Saigon,Chess,0,,,,,
warmup,01 Warm-up,general,10,warmup-010,general,mcq,"Which musical takes place in a Greek taverna and features Dancing Queen?",Mamma Mia,Grease,Hairspray,Legally Blonde,0,,,,,
warmup,01 Warm-up,general,10,warmup-011,general,mcq,"Which musical features the song Memory?",Cats,Starlight Express,Company,Matilda,0,,,,,
warmup,01 Warm-up,general,10,warmup-012,general,mcq,"Which musical is about a spelling bee?",The 25th Annual Putnam County Spelling Bee,Be More Chill,School of Rock,Everybody's Talking About Jamie,0,,,,,
warmup,01 Warm-up,general,10,warmup-013,general,mcq,"Which musical is set in the Kit Kat Club?",Cabaret,Chicago,Oklahoma,Newsies,0,,,,,
warmup,01 Warm-up,general,10,warmup-014,general,mcq,"Which musical is about a group of missionaries in Uganda?",The Book of Mormon,Come From Away,Once,The Band's Visit,0,,,,,
