pack_id,pack_name,pack_round_type,pack_sort_order,question_id,question_round_type,answer_type,question_text,option_a,option_b,option_c,option_d,answer_index,answer_text,accepted_answers,explanation,audio_path,image_path
sondheim-260217,Sondheim,general,9999,sondheim-260217-001,general,mcq,"Which Stephen Sondheim musical features the song ""Being Alive""?",Company,Follies,Merrily We Roll Along,Into the Woods,0,,,"""Being Alive"" is the Act II finale song for Robert in Company.",,
sondheim-260217,Sondheim,general,9999,sondheim-260217-002,general,mcq,"In Company, who sings ""The Ladies Who Lunch""?",Amy,Joanne,Marta,Kathy,1,,,"Joanne sings ""The Ladies Who Lunch"" in Company.",,
sondheim-260217,Sondheim,general,9999,sondheim-260217-003,general,mcq,"In Company, ""Getting Married Today"" is sung by which character?",Susan,April,Amy,Jenny,2,,,"Amy leads ""Getting Married Today"" (with Paul and others).",,
sondheim-260217,Sondheim,general,9999,sondheim-260217-004,general,mcq,"In Company, ""Barcelona"" is a duet between Robert and which girlfriend?",April,Marta,Kathy,Susan,0,,,"""Barcelona"" is sung by Robert and April.",,
sondheim-260217,Sondheim,general,9999,sondheim-260217-005,general,text,"In Company, the dance piece ""Tick-Tock"" is associated with which character?",,,,,,Kathy,Kathy,"""Tick-Tock"" is an instrumental dance associated with Kathy in Company.",,
sondheim-260217,Sondheim,general,9999,sondheim-260217-006,general,mcq,"In Company, who sings ""Another Hundred People""?",Marta,April,Joanne,Jenny,0,,,"Marta sings ""Another Hundred People"" in Company.",,
sondheim-260217,Sondheim,general,9999,sondheim-260217-007,general,mcq,For which musical did Sondheim write the lyrics but not the music?,West Side Story,Company,Sweeney Todd,Sunday in the Park with George,0,,,"Sondheim wrote lyrics for West Side Story, with music by Leonard Bernstein.",,
sondheim-260217,Sondheim,general,9999,sondheim-260217-008,general,mcq,Who composed the music for Gypsy (lyrics by Sondheim)?,Jule Styne,Leonard Bernstein,Richard Rodgers,Cy Coleman,0,,,Gypsy has music by Jule Styne and lyrics by Stephen Sondheim.,,
sondheim-260217,Sondheim,general,9999,sondheim-260217-009,general,mcq,Do I Hear a Waltz? features music by which composer?,Richard Rodgers,Jule Styne,Jerry Bock,Andrew Lloyd Webber,0,,,"Do I Hear a Waltz? is scored by Richard Rodgers, with lyrics by Sondheim.",,
sondheim-260217,Sondheim,general,9999,sondheim-260217-010,general,text,West Side Story: who wrote the music (with Sondheim as lyricist)?,,,,,,Leonard Bernstein,Leonard Bernstein|Bernstein,West Side Story's music is by Leonard Bernstein.,,
