id,question_text,answer_type,answer_text,accepted_answers,primary_show_key,round_type,media_type,prompt_target,clue_source,explanation,pack_ids,pack_names
4001-002,"In Next to Normal, what is the first name of the mother at the centre of the story?",text,Diana,"[""[\""Diana Goodman\"", \""Diana\""]""]",next_to_normal,general,text,fact_value,direct_fact,Diana Goodman is the mother whose mental health and grief shape the family’s story.,4001,Next to Normal
4001-009,Next to Normal won the Pulitzer Prize for Drama in which year?,text,2010,"[""[\""2010\""]""]",next_to_normal,general,text,fact_value,direct_fact,Next to Normal won the 2010 Pulitzer Prize for Drama.,4001,Next to Normal
4001-012,"In Next to Normal, what is the family surname?",text,Goodman,"[""[\""Goodman\""]""]",next_to_normal,general,text,fact_value,direct_fact,The central family are the Goodmans.,4001,Next to Normal
4001-015,"In Next to Normal, name the psychiatrist Diana sees in Act 1 (the one who prescribes medication).",text,Dr Madden,"[""[\""Dr Madden\"", \""Doctor Madden\"", \""Madden\""]""]",next_to_normal,general,text,fact_value,direct_fact,Diana’s psychiatrist in Act 1 is Dr Madden (played alongside Dr Fine in the London production).,4001,Next to Normal
4001-025,PICTURE: This is a photo of the London actor playing Gabe. What is the actor’s name?,text,Jack Wolfe,"[""[\""Jack Wolfe\""]""]",next_to_normal,picture,image,performer_name,cast_headshot,Jack Wolfe played Gabe in the London production.,4001,Next to Normal
4002-003,"In the original West End cast of Dear Evan Hansen, who played Evan Hansen?",text,Sam Tutty,"[""[\""Sam Tutty\""]""]",dear_evan_hansen,general,text,fact_value,direct_fact,Sam Tutty played Evan in the original West End cast and won the Olivier for the role.,4002,Dear Evan Hansen
4002-005,"In Dear Evan Hansen, what is the first name of Evan’s mother?",text,Heidi,"[""[\""Heidi\"", \""Heidi Hansen\""]""]",dear_evan_hansen,general,text,fact_value,direct_fact,Evan’s mother is Heidi Hansen.,4002,Dear Evan Hansen
4002-012,"In Dear Evan Hansen, what is the surname of the family whose son Connor dies?",text,Murphy,"[""[\""Murphy\""]""]",dear_evan_hansen,general,text,fact_value,direct_fact,Connor is part of the Murphy family.,4002,Dear Evan Hansen
4002-015,"In Dear Evan Hansen, complete the song title: To Break in a ____.",text,Glove,"[""[\""Glove\""]""]",dear_evan_hansen,general,text,song_title,direct_fact,The song is titled To Break in a Glove.,4002,Dear Evan Hansen
4002-025,PICTURE: This is the signature prop from which show?,text,Dear Evan Hansen,"[""[\""Evan Hansen\"", \""Even Hansen\"", \""Hansen\"", \""Dear Evan Hanson\""]""]",dear_evan_hansen,picture,image,show_title,prop_image,"Evan wears an arm cast, which becomes central to the story’s misunderstanding.",4002,Dear Evan Hansen
4003-002,"In Two Strangers (Carry a Cake Across New York), what is the first name of the English visitor?",text,Dougal,"[""[\""Dougal\"", \""Dougal Todd\""]""]",two_strangers_carry_a_cake_across_new_york,general,text,fact_value,direct_fact,Dougal Todd is the Englishman visiting New York.,4003,Two Strangers (Carry a Cake Across New York)
4003-003,"In Two Strangers (Carry a Cake Across New York), what is the first name of the New Yorker who picks Dougal up at the airport?",text,Robin,"[""[\""Robin\"", \""Robin Rainey\""]""]",two_strangers_carry_a_cake_across_new_york,general,text,fact_value,direct_fact,Robin Rainey is the cynical New Yorker who picks Dougal up.,4003,Two Strangers (Carry a Cake Across New York)
4003-012,"In Two Strangers (Carry a Cake Across New York), complete the Act 2 song title: The Hangover ____.",text,Duet,"[""[\""Duet\""]""]",two_strangers_carry_a_cake_across_new_york,general,text,song_title,direct_fact,The Act 2 number is titled The Hangover Duet.,4003,Two Strangers (Carry a Cake Across New York)
4003-015,"In Two Strangers (Carry a Cake Across New York), what is Robin’s surname?",text,Rainey,"[""[\""Rainey\""]""]",two_strangers_carry_a_cake_across_new_york,general,text,fact_value,direct_fact,Robin’s full name is Robin Rainey.,4003,Two Strangers (Carry a Cake Across New York)
4003-024,PICTURE: This is a publicity photo of Robin in London. What is the actor’s name?,text,Dujonna Gift,"[""[\""Dujonna Gift\""]""]",two_strangers_carry_a_cake_across_new_york,picture,image,performer_name,cast_headshot,Dujonna Gift played Robin in the London production.,4003,Two Strangers (Carry a Cake Across New York)
